1-1	0-8	Jarraian
1-2	9-11	55
1-3	12-18	urteko
1-4	19-26	emakume
1-5	27-32	baten
1-6	33-38	kasua
1-7	39-47	azalduko
1-8	48-52	dugu
1-9	52-53	:
1-10	54-57	IgA
1-11	58-64	motako
1-12	65-82	glomerulonefritis
1-13	83-92	mesangial
1-14	93-98	baten
1-15	99-107	ondorioz
1-16	108-118	giltzurrun
1-17	119-132	gutxiegitasun
1-18	133-141	kronikoa
1-19	142-146	zuen
1-20	147-150	eta
1-21	151-157	zortzi
1-22	158-162	urte
1-23	163-171	lehenago
1-24	172-182	giltzurrun
1-25	183-194	transplante
1-26	195-198	bat
1-27	199-203	egin
1-28	204-212	zitzaion
1-29	212-213	.

2-1	215-230	Transplantearen
2-2	231-239	aurretik
2-3	240-255	Zitomegalobirus
2-4	256-259	eta
2-5	260-266	EBBren
2-6	267-274	aurkako
2-7	275-278	IgG
2-8	279-289	antigenoak
2-9	290-296	zituen
2-10	296-297	.

3-1	299-305	Zortzi
3-2	306-310	urte
3-3	311-318	geroago
3-4	319-330	tratamendua
3-5	331-344	Ziklosporinak
3-6	344-345	,
3-7	346-358	mikofenolato
3-8	359-369	mofetiloak
3-9	370-373	eta
3-10	374-385	prednisonak
3-11	386-393	osatzen
3-12	394-399	zuten
3-13	399-400	.
3-14	402-403	3
3-15	403-404	-
3-16	404-405	4
3-17	406-412	asteko
3-18	413-426	zorabioarekin
3-19	427-430	eta
3-20	431-441	sasi-gripe
3-21	442-456	sindromearekin
3-22	457-463	etorri
3-23	464-467	zen
3-24	467-468	.

4-1	470-484	Sulpiriderekin
4-2	485-493	hobetzen
4-3	494-496	ez
4-4	497-501	zela
4-5	502-509	ikusita
4-6	509-510	,
4-7	511-518	burmuin
4-8	519-528	eskanerra
4-9	528-529	,
4-10	530-539	analitika
4-11	540-543	eta
4-12	544-551	ziztada
4-13	552-560	lunbarra
4-14	561-565	egin
4-15	566-577	zitzaizkion
4-16	577-578	,
4-17	579-586	inolako
4-18	587-599	alteraziorik
4-19	600-605	ikusi
4-20	606-610	gabe
4-21	610-611	.

5-1	613-618	Beraz
5-2	618-619	,
5-3	620-627	bertigo
5-4	628-639	paroxistiko
5-5	640-645	arina
5-6	646-651	zuela
5-7	652-656	uste
5-8	657-661	izan
5-9	662-665	zen
5-10	665-666	.

6-1	668-676	Hurrengo
6-2	677-685	egunetan
6-3	685-686	,
6-4	687-693	ostera
6-5	693-694	,
6-6	695-704	geldotzen
6-7	705-709	hasi
6-8	710-713	zen
6-9	714-717	eta
6-10	718-733	ezegonkortasuna
6-11	734-737	eta
6-12	738-756	begi-haluzinazioak
6-13	757-765	aurkeztu
6-14	766-772	zituen
6-15	772-773	.

7-1	775-795	Meningoenzefalitis-a
7-2	796-800	izan
7-3	801-814	zitekeelakoan
7-4	814-815	,
7-5	816-827	zeftriaxona
7-6	827-828	,
7-7	829-839	anpizilina
7-8	840-843	eta
7-9	844-862	ganziklobirrarekin
7-10	863-874	tratamendua
7-11	875-879	hasi
7-12	880-883	zen
7-13	883-884	.

8-1	886-894	Hamahiru
8-2	895-902	egunean
8-3	903-913	ospitalean
8-4	914-918	egon
8-5	919-926	ondoren
8-6	927-937	konbultsio
8-7	938-944	krisia
8-8	945-949	izan
8-9	950-954	zuen
8-10	954-955	.

9-1	957-970	Erresonantzia
9-2	971-975	egin
9-3	976-979	eta
9-4	980-989	erreboila
9-5	989-990	,
9-6	991-1005	protuberantzia
9-7	1005-1006	,
9-8	1007-1019	mesentzefalo
9-9	1020-1023	eta
9-10	1024-1031	gorputz
9-11	1032-1041	kallosoan
9-12	1042-1049	lesioak
9-13	1050-1057	zeudela
9-14	1058-1063	ikusi
9-15	1064-1067	zen
9-16	1067-1068	.

10-1	1070-1077	Ziztada
10-2	1078-1086	lunbarra
10-3	1087-1097	errepikatu
10-4	1097-1098	,
10-5	1099-1105	likido
10-6	1106-1122	zefalorrakideoan
10-7	1123-1126	PCR
10-8	1127-1128	(
10-9	1128-1138	polymerase
10-10	1139-1144	chain
10-11	1145-1153	reaction
10-12	1153-1154	)
10-13	1155-1159	egin
10-14	1160-1163	eta
10-15	1164-1170	EBBren
10-16	1171-1174	DNA
10-17	1175-1179	hazi
10-18	1180-1183	zen
10-19	1183-1184	.

11-1	1186-1191	Beraz
11-2	1191-1192	,
11-3	1193-1197	EBBk
11-4	1198-1208	eragindako
11-5	1209-1222	entzefalitisa
11-6	1223-1227	zuen
11-7	1228-1235	gaixoak
11-8	1235-1236	.

12-1	1238-1256	Ganziklobirrarekin
12-2	1257-1265	jarraitu
12-3	1266-1269	eta
12-4	1270-1277	azkenik
12-5	1278-1286	emakumea
12-6	1287-1292	osatu
12-7	1293-1297	egin
12-8	1298-1301	zen
12-9	1301-1302	.
