1-1	0-5	Patxi
1-2	5-6	,
1-3	7-9	80
1-4	10-14	urte
1-5	14-15	.

2-1	16-17	“
2-2	17-27	Besteengan
2-3	28-36	eragiten
2-4	37-42	duten
2-5	43-52	erabakiak
2-6	52-53	”
2-7	53-54	.

3-1	58-62	Bere
3-2	63-71	kamioian
3-3	72-80	luzaroan
3-4	81-89	erretako
3-5	90-97	zigarro
3-6	98-105	ugariek
3-7	106-116	etengabeko
3-8	117-122	eztul
3-9	123-126	eta
3-10	127-136	itolarria
3-11	137-143	eragin
3-12	144-149	diote
3-13	149-150	.

4-1	151-159	Azkeneko
4-2	160-162	bi
4-3	163-171	urteetan
4-4	171-172	,
4-5	173-186	ospitaleratze
4-6	187-192	ugari
4-7	193-197	izan
4-8	198-202	ditu
4-9	202-203	,
4-10	204-208	gero
4-11	209-212	eta
4-12	213-222	luzeagoak
4-13	223-230	gainera
4-14	231-236	altan
4-15	237-241	gero
4-16	242-245	eta
4-17	246-253	ahulago
4-18	254-258	dago
4-19	258-259	.

5-1	260-264	Gaur
5-2	264-265	,
5-3	266-272	Patxik
5-4	273-285	medikuarekin
5-5	286-294	hizketan
5-6	295-299	egon
5-7	300-302	da
5-8	302-303	,
5-9	304-308	bere
5-10	309-314	burua
5-11	315-323	okerrago
5-12	324-330	dakusa
5-13	331-334	eta
5-14	335-345	ospitaleak
5-15	346-355	lagunduko
5-16	356-358	ez
5-17	359-364	diola
5-18	365-369	uste
5-19	370-372	du
5-20	372-373	.

6-1	374-384	Baratzeari
6-2	385-391	begira
6-3	392-399	eserita
6-4	400-406	egotea
6-5	407-414	gustuko
6-6	415-417	du
6-7	417-418	,
6-8	418-429	tximiniaren
6-9	430-433	eta
6-10	434-443	leihoaren
6-11	444-450	artean
6-12	450-451	.

7-1	452-453	“
7-2	453-455	Ez
7-3	456-459	dut
7-4	460-465	neure
7-5	466-471	kabuz
7-6	472-482	altxatzeko
7-7	483-491	indarrik
7-8	491-492	,
7-9	493-498	baina
7-10	499-503	jada
7-11	504-506	ez
7-12	507-510	dut
7-13	511-521	ospitalera
7-14	522-526	joan
7-15	527-531	nahi
7-16	531-532	”
7-17	532-533	.

8-1	534-538	Bere
8-2	539-550	seme-alabak
8-3	551-553	ez
8-4	554-559	daude
8-5	560-564	ados
8-6	564-565	.

9-1	566-570	Nork
9-2	571-578	erabaki
9-3	579-584	behar
9-4	585-587	du
9-5	587-588	?

10-1	592-603	Bioetikaren
10-2	604-616	oinarrietako
10-3	617-620	bat
10-4	621-630	autonomia
10-5	631-633	da
10-6	633-634	.

11-1	635-640	Honek
11-2	641-645	gure
11-3	646-655	bizitzari
11-4	656-661	forma
11-5	662-669	emateko
11-6	670-679	gaitasuna
11-7	680-686	ematen
11-8	687-691	digu
11-9	691-692	,
11-10	693-697	gure
11-11	698-706	baloreen
11-12	707-716	araberako
11-13	717-724	bizitza
11-14	725-731	eratuz
11-15	731-732	.

12-1	733-738	Sarri
12-2	739-751	menpekotasun
12-3	752-762	ezberdinak
12-4	762-763	,
12-5	764-776	zahartzearen
12-6	777-780	edo
12-7	781-791	ezgaitasun
12-8	792-800	fisikoen
12-9	801-813	ondoriozkoak
12-10	814-823	esaterako
12-11	823-824	,
12-12	825-834	autonomia
12-13	835-847	bateraezinak
12-14	848-854	direla
12-15	855-866	pentsatzeko
12-16	867-872	joera
12-17	873-877	dugu
12-18	877-878	.

13-1	879-886	Zenbait
13-2	887-896	ikerlanek
13-3	897-905	paziente
13-4	906-911	hauek
13-5	912-917	euren
13-6	918-928	prozesuari
13-7	929-936	buruzko
13-8	937-946	erabakiak
13-9	947-955	hartzeko
13-10	956-962	orduan
13-11	963-968	duten
13-12	969-974	parte
13-13	975-982	hartzea
13-14	983-993	murriztuta
13-15	994-1000	dutela
13-16	1001-1010	erakusten
13-17	1011-1015	dute
13-18	1015-1016	.

14-1	1020-1032	Pazientearen
14-2	1033-1042	erabakiak
14-3	1043-1048	beste
14-4	1049-1057	pertsona
14-5	1058-1065	batzuek
14-6	1066-1074	emandako
14-7	1075-1084	zainketak
14-8	1085-1099	dakartzatenean
14-9	1099-1100	,
14-10	1101-1104	non
14-11	1105-1109	dago
14-12	1110-1122	autonomiaren
14-13	1123-1127	muga
14-14	1127-1128	?

15-1	1129-1132	Zer
15-2	1133-1137	egin
15-3	1138-1143	behar
15-4	1144-1146	du
15-5	1147-1160	profesionalak
15-6	1160-1161	?

16-1	1162-1174	Pazientearen
16-2	1175-1181	etxean
16-3	1182-1190	hiltzeko
16-4	1191-1196	nahia
16-5	1197-1208	errespetatu
16-6	1209-1212	edo
16-7	1213-1224	seme-alaben
16-8	1225-1232	nahiari
16-9	1233-1237	kasu
16-10	1238-1242	egin
16-11	1242-1243	,
16-12	1244-1254	ospitalean
16-13	1255-1269	ingresatzearen
16-14	1270-1276	alegia
16-15	1276-1277	?
