1-1	0-8	Kristina
1-2	9-11	19
1-3	12-18	urteko
1-4	19-34	unibertsitateko
1-5	35-42	ikaslea
1-6	43-45	da
1-7	45-46	,
1-8	47-50	eta
1-9	51-56	duela
1-10	57-58	6
1-11	59-67	hilabete
1-12	68-72	arte
1-13	73-82	osasuntsu
1-14	83-86	eta
1-15	87-93	aktibo
1-16	94-100	zegoen
1-17	100-101	.

2-1	103-113	Bat-batean
2-2	114-122	sozialki
2-3	123-132	isolatzen
2-4	133-137	hasi
2-5	138-141	zen
2-6	141-142	;
2-7	143-147	bere
2-8	148-155	logelan
2-9	156-164	geratzen
2-10	165-168	zen
2-11	169-172	eta
2-12	173-183	klaseetara
2-13	184-188	huts
2-14	189-195	egiten
2-15	196-200	hasi
2-16	201-204	zen
2-17	204-205	.

3-1	207-214	Eskolan
3-2	215-218	oso
3-3	219-223	nota
3-4	224-228	onak
3-5	229-238	ateratzen
3-6	239-247	bazituen
3-7	248-251	ere
3-8	251-252	,
3-9	253-264	akademikoki
3-10	265-274	zailtasun
3-11	275-282	handiak
3-12	283-287	izan
3-13	288-294	zituen
3-14	295-310	unibertsitateko
3-15	311-319	bigarren
3-16	320-333	lauhilabetean
3-17	333-334	.

4-1	338-351	Medikuarenera
4-2	352-356	joan
4-3	357-359	da
4-4	360-370	gurasoekin
4-5	370-371	.

5-1	373-383	Arduratuta
5-2	384-389	daude
5-3	390-397	zerbait
5-4	398-404	txarto
5-5	405-408	ote
5-6	409-415	dagoen
5-7	415-416	.

6-1	418-425	Gainera
6-2	425-426	,
6-3	427-431	beka
6-4	432-435	gal
6-5	436-442	dezake
6-6	443-445	ez
6-7	446-452	baditu
6-8	453-458	notak
6-9	459-467	hobetzen
6-10	467-468	.

7-1	472-480	Gurasoek
7-2	481-489	diotenez
7-3	489-490	,
7-4	491-499	Kristina
7-5	500-503	oso
7-6	504-517	arrakastatsua
7-7	518-521	eta
7-8	522-530	sozialki
7-9	531-538	aktiboa
7-10	539-542	zen
7-11	543-554	institutuan
7-12	554-555	.

8-1	557-560	Uda
8-2	561-569	hasieran
8-3	569-570	,
8-4	571-579	Kristina
8-5	580-585	pozik
8-6	586-593	zegoela
8-7	594-602	zirudien
8-8	603-609	etxean
8-9	610-622	familiarekin
8-10	622-623	.

9-1	625-630	Baina
9-2	631-639	astebete
