1-1	0-7	Neonata
1-2	8-10	di
1-3	11-13	13
1-4	14-20	giorni
1-5	20-21	,
1-6	22-26	nata
1-7	27-28	a
1-8	29-36	termine
1-9	37-39	da
1-10	40-45	parto
1-11	46-54	eutocico
1-12	54-55	,
1-13	56-60	peso
1-14	61-65	alla
1-15	66-73	nascita
1-16	74-79	3.340
1-17	80-86	grammi
1-18	86-87	,
1-19	88-95	dimessa
1-20	96-99	dal
1-21	100-104	nido
1-22	105-107	in
1-23	108-113	buone
1-24	114-124	condizioni
1-25	125-133	generali
1-26	133-134	.

2-1	135-141	Giunge
2-2	142-146	alla
2-3	147-153	nostra
2-4	154-166	osservazione
2-5	167-170	per
2-6	171-179	sospetto
2-7	180-188	reflusso
2-8	189-195	gastro
2-9	196-204	esofageo
2-10	205-206	(
2-11	206-209	rge
2-12	209-210	)
2-13	210-211	.

3-1	212-225	Nell'anamnesi
3-2	226-229	due
3-3	230-237	episodi
3-4	238-240	di
3-5	241-246	apnea
3-6	247-250	con
3-7	251-258	cianosi
3-8	259-268	secondari
3-9	269-271	ad
3-10	272-279	episodi
3-11	280-282	di
3-12	283-292	rigurgito
3-13	292-293	.

4-1	294-296	La
4-2	297-305	paziente
4-3	306-316	presentava
4-4	317-323	scarso
4-5	324-337	accrescimento
4-6	337-338	,
4-7	339-350	inappetenza
4-8	351-352	e
4-9	353-362	frequenti
4-10	363-370	episodi
4-11	371-373	di
4-12	374-383	rigurgito
4-13	384-387	fin
4-14	388-393	dalla
4-15	394-401	nascita
4-16	401-402	.

5-1	406-413	L'esame
5-2	414-421	clinico
5-3	422-433	evidenziava
5-4	434-436	un
5-5	437-443	addome
5-6	444-448	teso
5-7	448-449	,
5-8	450-453	non
5-9	454-461	dolente
5-10	461-462	.

6-1	463-466	Gli
6-2	467-472	esami
6-3	473-485	ematochimici
6-4	486-488	di
6-5	489-496	routine
6-6	497-501	sono
6-7	502-511	risultati
6-8	512-517	nella
6-9	518-523	norma
6-10	523-524	,
6-11	525-531	veniva
6-12	532-538	quindi
6-13	539-550	programmata
6-14	551-553	la
6-15	554-563	ph-metria
6-16	563-564	/
6-17	564-569	24ore
6-18	569-570	.

7-1	571-573	In
7-2	574-580	attesa
7-3	581-583	di
7-4	584-588	tale
7-5	589-594	esame
7-6	594-595	,
7-7	596-598	la
7-8	599-607	presenza
7-9	608-610	di
7-10	611-617	addome
7-11	618-622	teso
7-12	623-632	all'esame
7-13	633-640	clinico
7-14	641-643	ci
7-15	644-646	ha
7-16	647-654	indotto
7-17	655-657	ad
7-18	658-666	eseguire
7-19	667-674	l'esame
7-20	675-685	ecografico
7-21	686-697	dell'addome
7-22	698-700	in
7-23	701-705	toto
7-24	705-706	.

8-1	707-718	L'ecografia
8-2	719-721	ha
8-3	722-732	confermato
8-4	733-735	la
8-5	736-744	presenza
8-6	745-747	di
8-7	748-751	rge
8-8	751-752	,
8-9	753-755	ma
8-10	756-758	ha
8-11	759-764	anche
8-12	765-776	evidenziato
8-13	777-779	la
8-14	780-789	possibile
8-15	790-795	causa
8-16	796-801	della
8-17	802-816	sintomatologia
8-18	816-817	:
8-19	818-821	una
8-20	822-832	voluminosa
8-21	833-843	formazione
8-22	844-851	cistica
8-23	852-860	semplice
8-24	860-861	,
8-25	862-864	di
8-26	865-867	14
8-27	868-878	centimetri
8-28	879-881	di
8-29	882-890	diametro
8-30	891-898	massimo
8-31	898-899	,
8-32	900-903	che
8-33	904-912	occupava
8-34	913-924	l'emiaddome
8-35	925-927	di
8-36	928-934	destra
8-37	934-935	,
8-38	936-947	comprimendo
8-39	948-950	in
8-40	951-956	basso
8-41	957-959	la
8-42	960-967	vescica
8-43	967-968	,
8-44	969-971	ed
8-45	972-974	in
8-46	975-979	alto
8-47	980-982	il
8-48	983-989	fegato
8-49	990-991	e
8-50	992-1002	dislocando
8-51	1003-1008	verso
8-52	1009-1017	sinistra
8-53	1018-1020	lo
8-54	1021-1028	stomaco
8-55	1029-1030	e
8-56	1031-1042	l'intestino
8-57	1042-1043	.

9-1	1044-1050	Veniva
9-2	1051-1061	ipotizzata
9-3	1062-1071	l'origine
9-4	1072-1079	ovarica
9-5	1080-1082	di
9-6	1083-1087	tale
9-7	1088-1093	cisti
9-8	1094-1095	e
9-9	1096-1098	la
9-10	1099-1106	piccola
9-11	1107-1115	paziente
9-12	1116-1122	veniva
9-13	1123-1133	sottoposta
9-14	1134-1136	ad
9-15	1137-1147	intervento
9-16	1148-1158	chirurgico
9-17	1158-1159	.

10-1	1160-1162	La
10-2	1163-1174	laparotomia
10-3	1175-1186	esplorativa
10-4	1187-1198	evidenziava
10-5	1199-1202	una
10-6	1203-1213	voluminosa
10-7	1214-1224	formazione
10-8	1225-1232	cistica
10-9	1233-1236	che
10-10	1237-1246	originava
10-11	1247-1257	dall'ovaia
10-12	1258-1264	destra
10-13	1264-1265	.

11-1	1266-1268	La
11-2	1269-1278	rimozione
11-3	1279-1284	della
11-4	1285-1290	cisti
11-5	1291-1293	ha
11-6	1294-1304	consentito
11-7	1305-1307	la
11-8	1308-1322	decompressione
11-9	1323-1328	degli
11-10	1329-1335	organi
11-11	1336-1346	addominali
11-12	1346-1347	,
